Plot,easting,northing,start_time,end_time,scale_level,crawlers,coccinellids
1,352643,1662940,2022-02-25T09:00,2022-02-26T15:00,M,1,0
2,352660,1662968,2022-02-25T09:00,2022-02-26T15:00,H,0,0
3,352685,1662997,2022-02-25T09:00,2022-02-26T15:00,M,0,0
4,352699,1663031,2022-02-25T09:00,2022-02-26T15:00,M,0,1
5,352717,1663071,2022-02-25T09:00,2022-02-26T15:00,H,1,0
6,352727,1663098,2022-02-25T09:00,2022-02-26T15:00,H,0,0
7,352760,1663125,2022-02-25T09:00,2022-02-26T15:00,H,0,0
8,352774,1663143,2022-02-25T09:00,2022-02-26T15:00,H,1,0
9,352780,1663170,2022-02-25T09:00,2022-02-26T15:00,H,1,1
10,352787,1663206,2022-02-25T09:00,2022-02-26T15:00,H,0,0
11,352784,1663227,2022-02-25T09:00,2022-02-26T15:00,H,0,0
12,352775,1663251,2022-02-25T09:00,2022-02-26T15:00,H,0,0
13,352767,1663291,2022-02-25T09:00,2022-02-26T15:00,H,0,0
14,352791,1663358,2022-02-25T09:00,2022-02-26T15:00,H,1,0
15,352842,1663422,2022-02-25T09:00,2022-02-26T15:00,H,1,0
16,352864,1663464,2022-02-25T09:00,2022-02-26T15:00,H,1,0
17,352808,1663260,2022-02-25T09:00,2022-02-26T15:00,H,1,0
18,352810,1663236,2022-02-25T09:00,2022-02-26T15:00,H,0,0
19,352810,1663211,2022-02-25T09:00,2022-02-26T15:00,H,0,0
20,352808,1663186,2022-02-25T09:00,2022-02-26T15:00,L,0,0
21,352804,1663160,2022-02-25T09:00,2022-02-26T15:00,M,0,1
22,352798,1663135,2022-02-25T09:00,2022-02-26T15:00,M,1,0
23,352796,1663111,2022-02-25T09:00,2022-02-26T15:00,H,0,0
24,352782,1663086,2022-02-25T09:00,2022-02-26T15:00,H,0,0
